movieId,title,genres,rating
845781,Red One,"28, 14, 35",6.954
912649,Venom: The Last Dance,"28, 878, 12, 53",6.8
1241982,Moana 2,"16, 12, 10751, 35",7.0
762509,Mufasa: The Lion King,"12, 10751, 18, 16",6.9
939243,Sonic the Hedgehog 3,"878, 12, 35, 10751",7.8
1005331,Carry-On,"28, 9648, 53",7.0
1035048,Elevation,"28, 878, 53",6.4
1000075,The Price of Money: A Largo Winch Adventure,"28, 12, 53",5.509
539972,Kraven the Hunter,"28, 12, 53",5.8
974453,Absolution,"28, 80, 53",6.1
558449,Gladiator II,"28, 12, 18",6.672
1184918,The Wild Robot,"16, 28, 878, 10751",8.383
1138194,Heretic,"27, 53",7.176
1043905,Dirty Angels,"28, 18, 53",5.632
645757,That Christmas,"16, 35, 10751, 14, 12",7.396
1182387,Armor,"28, 80, 53",5.6
1010581,My Fault,"10749, 18",7.911
533535,Deadpool & Wolverine,"28, 35, 878",7.7
933260,The Substance,"27, 878",7.226
1034541,Terrifier 3,"27, 53",6.874
1299652,Watchmen: Chapter II,"16, 9648, 878, 28",7.518
698687,Transformers One,"16, 878, 12, 10751",8.1
1147416,"Miraculous World, London: At the Edge of Time","16, 12, 28, 14",7.8
402431,Wicked,"18, 10749, 14",7.6
957119,Sidelined: The QB and Me,"35, 10749",6.411
1167271,Weekend in Taipei,"28, 12, 53",6.101
1118031,Apocalypse Z: The Beginning of the End,"18, 28, 27",6.85
1022789,Inside Out 2,"16, 12, 35, 18, 10751",7.6
41446,Scream 4,"27, 9648",6.5
1156593,Culpa tuya,"18, 10749",8.0
519182,Despicable Me 4,"16, 10751, 35, 878",7.1
1100782,Smile 2,"27, 9648",6.599
945961,Alien: Romulus,"27, 878",7.236
8871,How the Grinch Stole Christmas,"10751, 35, 14",6.8
1064213,Anora,"10749, 35, 18",7.3
1171640,GTMAX,"28, 80, 18",6.072
1051896,Arcadian,"28, 27, 53, 878",6.1
791042,Levels,"28, 878, 53",5.695
1389147,SDI: Secret Department of Intervention,28,5.0
995803,Arena Wars,"28, 878, 53, 35, 27",5.258
360920,The Grinch,"16, 10751, 35, 14",6.9
1029235,Azrael,"28, 27, 53",5.944
1252470,Sikandar Ka Muqaddar,"53, 80, 9648, 28",6.1
1196470,Survive,"53, 12, 28, 878",5.8
772,Home Alone 2: Lost in New York,"35, 10751, 12",6.8
420818,The Lion King,"12, 18, 10751, 16",7.115
592983,Spellbound,"16, 14, 10751, 12, 35",6.9
1188808,Tuhog,"18, 10749",7.0
1100099,We Live in Time,"10749, 18",7.59
957452,The Crow,"28, 14, 27",5.9
482600,Japanese Mom,"10749, 18",6.2
1064028,Subservience,"878, 53, 27",6.711
1252309,Pídeme lo que quieras,"10749, 18",5.944
1124641,Classified,"28, 53",5.9
1154223,Hunting With Tigers,"28, 53",6.0
1357633,Solo Leveling -ReAwakening-,"28, 12, 14, 16",7.321
675353,Sonic the Hedgehog 2,"28, 12, 10751, 35",7.5
1155095,The Moor,"27, 9648, 18",5.048
1084736,The Count of Monte Cristo,"28, 12, 18",8.176
1108427,Moana,"12, 35, 10751, 14",0.0
573435,Bad Boys: Ride or Die,"28, 35, 80, 53, 12",7.479
1097870,Dear Santa,"14, 35",6.5
1326059,Pimpinero: Blood and Oil,"28, 80, 18",7.3
1106739,Juror #2,"80, 18",7.0
1116490,Cash Out,"28, 53",6.355
1387866,Disaster Holiday,"35, 10751",6.611
1125510,The Platform 2,"878, 27, 53",5.573
592695,Pleasure,18,6.2
1084863,The Soul Eater,"53, 27, 80, 9648",6.1
259872,Skin. Like. Sun.,10749,6.5
823219,Flow,"16, 14, 12",8.482
889737,Joker: Folie à Deux,"18, 80, 53",5.541
157336,Interstellar,"12, 18, 878",8.445
748783,The Garfield Movie,"16, 35, 10751, 12, 28",7.111
1232449,Young Hearts,"18, 10751",8.605
1331375,Dominique,"28, 53",7.5
335983,Venom,"878, 28",6.833
98,Gladiator,"28, 18, 12",8.218
974576,Conclave,"53, 18",7.094
693134,Dune: Part Two,"878, 12",8.152
1011985,Kung Fu Panda 4,"16, 10751, 14, 28",7.084
1100856,Whisper of the Witch,"27, 53",6.393
917496,Beetlejuice Beetlejuice,"35, 14, 27",7.122
1014505,OVERLORD: The Sacred Kingdom,"28, 12, 16, 14",7.7
385687,Fast X,"28, 80, 53",7.1
1165466,Wake Up,"27, 53, 28",7.2
726139,Project Silence,"28, 53, 27, 878",7.036
671,Harry Potter and the Philosopher's Stone,"12, 14",7.908
653346,Kingdom of the Planet of the Apes,"878, 12, 28",7.106
634649,Spider-Man: No Way Home,"28, 12, 878",7.955
639720,IF,"35, 14, 10751",7.22
46848,Private Collections,"18, 10749",5.2
972614,Knox Goes Away,"80, 53, 28",6.919
978796,Bagman,"27, 53",6.1
454626,Sonic the Hedgehog,"28, 878, 35, 10751",7.3
1296753,Remnant,"878, 27, 53",4.8
1371727,Sing: Thriller,"16, 10751, 35",7.3
823464,Godzilla x Kong: The New Empire,"28, 12, 878",7.139
569094,Spider-Man: Across the Spider-Verse,"16, 28, 12, 878",8.354
829557,365 Days: This Day,"10749, 18",5.9
1355755,An Almost Christmas Story,"16, 12, 14, 10751",7.27
839033,The Lord of the Rings: The War of the Rohirrim,"16, 14, 28, 12",6.5
976734,Canary Black,"28, 53, 80",6.359
857598,Pushpa 2 - The Rule,"80, 28, 53",7.074
8587,The Lion King,"10751, 16, 18",8.256
1144962,Transmorphers: Mech Beasts,"28, 878",5.344
667538,Transformers: Rise of the Beasts,"878, 12, 28",7.282
1243381,Mary,"18, 36, 28",6.245
